Ullage  (cm.),Tank,-1,0,1,2,3,4
0,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
1,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
2,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
3,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
4,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
5,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
6,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
7,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
8,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
9,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
10,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
11,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
12,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
13,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
14,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
15,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
16,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
17,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
18,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
19,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.8
20,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.8
21,6S,13938.9,13938.9,13938.9,13938.9,13938.9,13938.7
22,6S,13938.9,13938.9,13938.9,13938.9,13938.8,13938.7
23,6S,13938.9,13938.9,13938.9,13938.9,13938.8,13938.6
24,6S,13938.9,13938.9,13938.9,13938.9,13938.8,13938.5
25,6S,13938.8,13938.9,13938.9,13938.9,13938.7,13938.4
26,6S,13938.8,13938.9,13938.9,13938.8,13938.6,13938.3
27,6S,13938.7,13938.9,13938.9,13938.8,13938.5,13938.2
28,6S,13938.6,13938.9,13938.9,13938.7,13938.4,13938
29,6S,13938.4,13938.9,13938.8,13938.6,13938.3,13937.8
30,6S,13938.2,13938.9,13938.8,13938.5,13938.1,13937.6
31,6S,13937.9,13938.8,13938.7,13938.4,13938,13937.3
32,6S,13937.6,13938.7,13938.6,13938.2,13937.7,13937.1
33,6S,13937.3,13938.4,13938.4,13938.1,13937.5,13936.8
34,6S,13936.8,13938.2,13938.2,13937.8,13937.2,13936.5
35,6S,13936.3,13937.8,13938,13937.6,13936.9,13936.1
36,6S,13935.7,13937.3,13937.7,13937.3,13936.6,13935.7
37,6S,13935,13936.8,13937.3,13936.9,13936.2,13935.3
38,6S,13934.3,13936.3,13936.9,13936.5,13935.8,13934.9
39,6S,13933.5,13935.6,13936.4,13936.1,13935.3,13934.4
40,6S,13932.6,13934.9,13935.8,13935.6,13934.8,13933.9
41,6S,13931.7,13934.1,13935.2,13935,13934.3,13933.3
42,6S,13930.6,13933.2,13934.4,13934.4,13933.7,13932.7
43,6S,13929.5,13932.2,13933.6,13933.8,13933.1,13932
44,6S,13928.4,13931.2,13932.8,13933,13932.4,13931.3
45,6S,13927.1,13930.1,13931.8,13932.2,13931.6,13930.6
46,6S,13925.8,13929,13930.8,13931.4,13930.8,13929.8
47,6S,13924.4,13927.7,13929.7,13930.4,13930,13929
48,6S,13922.9,13926.4,13928.6,13929.4,13929.1,13928.1
49,6S,13921.4,13925,13927.3,13928.3,13928.1,13927.2
50,6S,13919.8,13923.6,13926,13927.2,13927.1,13926.2
51,6S,13918.1,13922,13924.6,13926,13926,13925.1
52,6S,13916.3,13920.4,13923.2,13924.7,13924.8,13924
53,6S,13914.5,13918.7,13921.7,13923.3,13923.6,13922.9
54,6S,13912.6,13917,13920.1,13921.8,13922.3,13921.7
55,6S,13910.6,13915.2,13918.4,13920.3,13920.9,13920.4
56,6S,13908.6,13913.3,13916.6,13918.7,13919.5,13919.1
57,6S,13906.5,13911.3,13914.8,13917.1,13918,13917.7
58,6S,13904.3,13909.3,13912.9,13915.3,13916.4,13916.2
59,6S,13902,13907.1,13911,13913.5,13914.7,13914.7
60,6S,13899.7,13905,13908.9,13911.6,13913,13913.1
61,6S,13897.2,13902.7,13906.8,13909.7,13911.2,13911.4
62,6S,13894.8,13900.4,13904.6,13907.6,13909.3,13909.7
63,6S,13892.2,13897.9,13902.4,13905.5,13907.4,13907.9
64,6S,13889.6,13895.5,13900.1,13903.4,13905.3,13906
65,6S,13886.9,13892.9,13897.7,13901.1,13903.2,13904.1
66,6S,13884.1,13890.3,13895.2,13898.8,13901.1,13902.1
67,6S,13881.2,13887.6,13892.6,13896.4,13898.8,13900
68,6S,13878.3,13884.8,13890,13893.9,13896.5,13897.8
69,6S,13875.3,13882,13887.3,13891.4,13894.1,13895.6
70,6S,13872.2,13879.1,13884.6,13888.8,13891.7,13893.3
71,6S,13869.1,13876.1,13881.7,13886.1,13889.1,13890.9
72,6S,13865.9,13873,13878.8,13883.3,13886.5,13888.4
73,6S,13862.6,13869.9,13875.8,13880.5,13883.8,13885.9
74,6S,13859.2,13866.6,13872.8,13877.6,13881.1,13883.3
