Ullage  (cm.),Tank,-1,0,1,2,3,4
0,4P,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
1,4P,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
2,4P,15208.3,15208.3,15208.3,15208.3,15208.3,15208.2
3,4P,15208.3,15208.3,15208.3,15208.3,15208.3,15208.2
4,4P,15208.3,15208.3,15208.3,15208.3,15208.3,15208.1
5,4P,15208.3,15208.3,15208.3,15208.3,15208.3,15208.1
6,4P,15208.3,15208.3,15208.3,15208.3,15208.3,15208
7,4P,15208.3,15208.3,15208.3,15208.3,15208.3,15207.9
8,4P,15208.3,15208.3,15208.3,15208.3,15208.3,15207.8
9,4P,15208.3,15208.3,15208.3,15208.3,15208.2,15207.6
10,4P,15208.3,15208.3,15208.3,15208.3,15208.2,15207.5
11,4P,15208.3,15208.3,15208.3,15208.3,15208.1,15207.3
12,4P,15208.3,15208.3,15208.3,15208.3,15208,15207.1
13,4P,15208.3,15208.3,15208.3,15208.3,15208,15206.9
14,4P,15208.3,15208.3,15208.3,15208.3,15207.8,15206.6
15,4P,15208.3,15208.3,15208.3,15208.3,15207.7,15206.4
16,4P,15208.3,15208.3,15208.3,15208.2,15207.5,15206
17,4P,15208.3,15208.3,15208.3,15208.2,15207.3,15205.7
18,4P,15208.3,15208.3,15208.3,15208.1,15207.1,15205.3
19,4P,15208.3,15208.3,15208.3,15208,15206.9,15204.9
20,4P,15208.3,15208.3,15208.3,15207.9,15206.6,15204.5
21,4P,15208.3,15208.3,15208.3,15207.7,15206.3,15204
22,4P,15208.3,15208.3,15208.3,15207.5,15206,15203.5
23,4P,15208.3,15208.3,15208.2,15207.3,15205.6,15203
24,4P,15208.3,15208.3,15208.1,15207.1,15205.1,15202.4
25,4P,15208.2,15208.3,15208,15206.8,15204.7,15201.8
26,4P,15208.2,15208.3,15207.8,15206.4,15204.2,15201.1
27,4P,15208,15208.2,15207.6,15206,15203.6,15200.4
28,4P,15207.9,15208.1,15207.3,15205.6,15203,15199.6
29,4P,15207.7,15207.9,15207,15205.1,15202.4,15198.8
30,4P,15207.5,15207.6,15206.6,15204.6,15201.7,15197.9
31,4P,15207.2,15207.2,15206.1,15204,15200.9,15197
32,4P,15206.8,15206.8,15205.6,15203.3,15200.1,15196
33,4P,15206.4,15206.3,15205,15202.6,15199.3,15195
34,4P,15205.9,15205.7,15204.3,15201.8,15198.4,15194
35,4P,15205.4,15205,15203.6,15201,15197.4,15192.8
36,4P,15204.7,15204.3,15202.7,15200.1,15196.3,15191.6
37,4P,15204,15203.5,15201.8,15199.1,15195.2,15190.4
38,4P,15203.3,15202.6,15200.9,15198,15194.1,15189.1
39,4P,15202.4,15201.7,15199.8,15196.9,15192.8,15187.7
40,4P,15201.5,15200.6,15198.7,15195.7,15191.5,15186.3
41,4P,15200.5,15199.6,15197.5,15194.4,15190.1,15184.8
42,4P,15199.4,15198.4,15196.3,15193,15188.7,15183.2
43,4P,15198.3,15197.1,15194.9,15191.6,15187.1,15181.6
44,4P,15197,15195.8,15193.5,15190.1,15185.5,15179.9
45,4P,15195.8,15194.5,15192,15188.5,15183.9,15178.1
46,4P,15194.4,15193,15190.5,15186.9,15182.1,15176.3
47,4P,15193,15191.5,15188.9,15185.1,15180.3,15174.4
48,4P,15191.4,15189.9,15187.2,15183.3,15178.4,15172.4
49,4P,15189.9,15188.2,15185.4,15181.5,15176.5,15170.3
50,4P,15188.2,15186.4,15183.5,15179.5,15174.4,15168.2
51,4P,15186.5,15184.6,15181.6,15177.5,15172.3,15166
52,4P,15184.7,15182.7,15179.6,15175.4,15170.1,15163.7
53,4P,15182.8,15180.7,15177.6,15173.3,15167.9,15161.4
54,4P,15180.9,15178.7,15175.4,15171,15165.5,15158.9
55,4P,15178.8,15176.6,15173.2,15168.7,15163.1,15156.4
56,4P,15176.7,15174.4,15170.9,15166.4,15160.7,15153.9
57,4P,15174.6,15172.1,15168.6,15163.9,15158.1,15151.2
58,4P,15172.3,15169.8,15166.1,15161.4,15155.5,15148.5
59,4P,15170,15167.4,15163.6,15158.8,15152.8,15145.7
60,4P,15167.6,15164.9,15161.1,15156.1,15150,15142.9
61,4P,15165.2,15162.4,15158.4,15153.4,15147.2,15139.9
62,4P,15162.7,15159.7,15155.7,15150.5,15144.3,15136.9
63,4P,15160.1,15157,15152.9,15147.7,15141.3,15133.8
64,4P,15157.4,15154.3,15150,15144.7,15138.2,15130.7
65,4P,15154.6,15151.4,15147.1,15141.7,15135.1,15127.5
66,4P,15151.8,15148.5,15144.1,15138.6,15131.9,15124.2
67,4P,15148.9,15145.5,15141,15135.4,15128.6,15120.8
68,4P,15145.9,15142.4,15137.8,15132.1,15125.3,15117.3
69,4P,15142.9,15139.3,15134.6,15128.8,15121.9,15113.8
70,4P,15139.8,15136.1,15131.3,15125.4,15118.4,15110.2
71,4P,15136.6,15132.8,15127.9,15121.9,15114.8,15106.6
72,4P,15133.3,15129.5,15124.5,15118.4,15111.2,15102.8
73,4P,15130,15126,15120.9,15114.7,15107.4,15099
74,4P,15126.6,15122.5,15117.3,15111.1,15103.7,15095.1
75,4P,15123.1,15119,15113.7,15107.3,15099.8,15091.2
76,4P,15119.6,15115.3,15109.9,15103.5,15095.9,15087.1
77,4P,15115.9,15111.6,15106.1,15099.5,15091.8,15083
78,4P,15112.2,15107.8,15102.2,15095.6,15087.8,15078.9
79,4P,15108.5,15103.9,15098.3,15091.5,15083.6,15074.6
80,4P,15104.6,15100,15094.2,15087.4,15079.4,15070.3
81,4P,15100.7,15096,15090.1,15083.2,15075.1,15065.9
82,4P,15096.7,15091.9,15085.9,15078.9,15070.7,15061.4
83,4P,15092.7,15087.7,15081.7,15074.5,15066.3,15056.9
84,4P,15088.5,15083.5,15077.4,15070.1,15061.8,15052.3
85,4P,15084.3,15079.2,15073,15065.6,15057.2,15047.6
86,4P,15080,15074.8,15068.5,15061.1,15052.5,15042.8
87,4P,15075.7,15070.4,15064,15056.4,15047.8,15038
88,4P,15071.3,15065.9,15059.3,15051.7,15043,15033.1
89,4P,15066.8,15061.3,15054.6,15046.9,15038.1,15028.1
90,4P,15062.2,15056.6,15049.9,15042.1,15033.1,15023.1
91,4P,15057.5,15051.8,15045,15037.1,15028.1,15017.9
92,4P,15052.8,15047,15040.1,15032.1,15023,15012.8
93,4P,15048,15042.1,15035.2,15027,15017.8,15007.5
94,4P,15043.2,15037.2,15030.1,15021.9,15012.6,15002.1
95,4P,15038.2,15032.2,15025,15016.7,15007.3,14996.7
96,4P,15033.2,15027,15019.8,15011.4,15001.9,14991.2
97,4P,15028.1,15021.9,15014.5,15006,14996.4,14985.7
98,4P,15023,15016.6,15009.1,15000.6,14990.9,14980.1
99,4P,15017.7,15011.3,15003.7,14995,14985.2,14974.4
100,4P,15012.4,15005.9,14998.2,14989.5,14979.6,14968.6
101,4P,15007.1,15000.4,14992.7,14983.8,14973.8,14962.8
102,4P,15001.6,14994.9,14987,14978.1,14968,14957
103,4P,14996.1,14989.3,14981.3,14972.3,14962.1,14951
104,4P,14990.5,14983.6,14975.5,14966.4,14956.1,14945
105,4P,14984.8,14977.8,14969.7,14960.4,14950.1,14939
106,4P,14979.1,14972,14963.7,14954.4,14944,14932.9
107,4P,14973.3,14966.1,14957.7,14948.3,14937.8,14926.7
108,4P,14967.4,14960.1,14951.7,14942.1,14931.6,14920.5
109,4P,14961.4,14954,14945.5,14935.9,14925.3,14914.3
110,4P,14955.4,14947.9,14939.3,14929.6,14919,14908
111,4P,14949.3,14941.7,14933,14923.2,14912.6,14901.6
112,4P,14943.1,14935.4,14926.6,14916.7,14906.2,14895.2
113,4P,14936.9,14929.1,14920.2,14910.2,14899.7,14888.8
114,4P,14930.5,14922.7,14913.7,14903.7,14893.1,14882.3
115,4P,14924.1,14916.2,14907.1,14897,14886.5,14875.7
116,4P,14917.7,14909.6,14900.4,14890.4,14879.9,14869.2
117,4P,14911.1,14903,14893.7,14883.6,14873.2,14862.5
118,4P,14904.5,14896.3,14886.9,14876.9,14866.5,14855.9
119,4P,14897.8,14889.5,14880,14870,14859.7,14849.2
120,4P,14891.1,14882.6,14873.1,14863.2,14853,14842.5
121,4P,14884.3,14875.7,14866.2,14856.3,14846.1,14835.7
122,4P,14877.4,14868.7,14859.2,14849.3,14839.3,14828.9
123,4P,14870.4,14861.6,14852.1,14842.4,14832.4,14822.1
124,4P,14863.5,14854.5,14845.1,14835.4,14825.4,14815.2
125,4P,14856.4,14847.3,14838,14828.4,14818.5,14808.4
126,4P,14849.4,14840.2,14830.8,14821.3,14811.5,14801.5
127,4P,14842.3,14833.1,14823.7,14814.2,14804.5,14794.5
128,4P,14835.2,14825.9,14816.6,14807.1,14797.5,14787.6
129,4P,14828.1,14818.8,14809.4,14800,14790.4,14780.6
130,4P,14821,14811.6,14802.3,14792.9,14783.4,14773.6
131,4P,14813.8,14804.5,14795.2,14785.8,14776.3,14766.6
132,4P,14806.7,14797.3,14788,14778.7,14769.2,14759.5
133,4P,14799.5,14790.2,14780.9,14771.5,14762.1,14752.5
134,4P,14792.4,14783.1,14773.7,14764.4,14755,14745.4
135,4P,14785.3,14775.9,14766.6,14757.2,14747.9,14738.3
136,4P,14778.1,14768.8,14759.4,14750.1,14740.7,14731.2
137,4P,14771,14761.6,14752.3,14743,14733.6,14724.1
138,4P,14763.8,14754.5,14745.2,14735.8,14726.4,14717
139,4P,14756.7,14747.4,14738,14728.7,14719.3,14709.9
140,4P,14749.5,14740.2,14730.9,14721.5,14712.2,14702.8
141,4P,14742.4,14733.1,14723.7,14714.4,14705,14695.6
142,4P,14735.3,14725.9,14716.6,14707.2,14697.9,14688.5
143,4P,14728.1,14718.8,14709.5,14700.1,14690.7,14681.4
144,4P,14721,14711.7,14702.3,14693,14683.6,14674.2
145,4P,14713.8,14704.5,14695.2,14685.8,14676.5,14667.1
146,4P,14706.7,14697.4,14688,14678.7,14669.3,14659.9
147,4P,14699.6,14690.2,14680.9,14671.5,14662.2,14652.8
148,4P,14692.4,14683.1,14673.8,14664.4,14655,14645.6
149,4P,14685.3,14676,14666.6,14657.3,14647.9,14638.5
150,4P,14678.1,14668.8,14659.5,14650.1,14640.7,14631.4
151,4P,14671,14661.7,14652.3,14643,14633.6,14624.2
152,4P,14663.9,14654.5,14645.2,14635.8,14626.5,14617.1
153,4P,14656.7,14647.4,14638,14628.7,14619.3,14609.9
154,4P,14649.6,14640.2,14630.9,14621.6,14612.2,14602.8
155,4P,14642.4,14633.1,14623.8,14614.4,14605,14595.7
156,4P,14635.3,14626,14616.6,14607.3,14597.9,14588.5
157,4P,14628.1,14618.8,14609.5,14600.1,14590.8,14581.4
158,4P,14621,14611.7,14602.3,14593,14583.6,14574.2
159,4P,14613.9,14604.5,14595.2,14585.8,14576.5,14567.1
160,4P,14606.7,14597.4,14588.1,14578.7,14569.3,14559.9
161,4P,14599.6,14590.3,14580.9,14571.6,14562.2,14552.8
162,4P,14592.4,14583.1,14573.8,14564.4,14555,14545.7
163,4P,14585.3,14576,14566.6,14557.3,14547.9,14538.5
164,4P,14578.2,14568.8,14559.5,14550.1,14540.8,14531.4
165,4P,14571,14561.7,14552.4,14543,14533.6,14524.2
166,4P,14563.9,14554.6,14545.2,14535.9,14526.5,14517.1
167,4P,14556.7,14547.4,14538.1,14528.7,14519.3,14509.9
168,4P,14549.6,14540.3,14530.9,14521.6,14512.2,14502.8
169,4P,14542.5,14533.1,14523.8,14514.4,14505.1,14495.7
170,4P,14535.3,14526,14516.6,14507.3,14497.9,14488.5
171,4P,14528.2,14518.8,14509.5,14500.1,14490.8,14481.4
172,4P,14521,14511.7,14502.4,14493,14483.6,14474.2
173,4P,14513.9,14504.6,14495.2,14485.9,14476.5,14467.1
174,4P,14506.7,14497.4,14488.1,14478.7,14469.3,14460
175,4P,14499.6,14490.3,14480.9,14471.6,14462.2,14452.8
176,4P,14492.5,14483.1,14473.8,14464.4,14455.1,14445.7
177,4P,14485.3,14476,14466.7,14457.3,14447.9,14438.5
178,4P,14478.2,14468.9,14459.5,14450.2,14440.8,14431.4
179,4P,14471,14461.7,14452.4,14443,14433.6,14424.2
180,4P,14463.9,14454.6,14445.2,14435.9,14426.5,14417.1
181,4P,14456.8,14447.4,14438.1,14428.7,14419.4,14410
182,4P,14449.6,14440.3,14431,14421.6,14412.2,14402.8
183,4P,14442.5,14433.2,14423.8,14414.5,14405.1,14395.7
184,4P,14435.3,14426,14416.7,14407.3,14397.9,14388.5
185,4P,14428.2,14418.9,14409.5,14400.2,14390.8,14381.4
186,4P,14421.1,14411.7,14402.4,14393,14383.6,14374.2
187,4P,14413.9,14404.6,14395.2,14385.9,14376.5,14367.1
188,4P,14406.8,14397.5,14388.1,14378.7,14369.4,14360
189,4P,14399.6,14390.3,14381,14371.6,14362.2,14352.8
190,4P,14392.5,14383.2,14373.8,14364.5,14355.1,14345.7
191,4P,14385.3,14376,14366.7,14357.3,14347.9,14338.5
192,4P,14378.2,14368.9,14359.5,14350.2,14340.8,14331.4
193,4P,14371.1,14361.7,14352.4,14343,14333.7,14324.3
194,4P,14363.9,14354.6,14345.3,14335.9,14326.5,14317.1
195,4P,14356.8,14347.5,14338.1,14328.8,14319.4,14310
196,4P,14349.6,14340.3,14331,14321.6,14312.2,14302.8
197,4P,14342.5,14333.2,14323.8,14314.5,14305.1,14295.7
198,4P,14335.4,14326,14316.7,14307.3,14298,14288.5
199,4P,14328.2,14318.9,14309.6,14300.2,14290.8,14281.4
200,4P,14321.1,14311.8,14302.4,14293.1,14283.7,14274.3
201,4P,14313.9,14304.6,14295.3,14285.9,14276.5,14267.1
202,4P,14306.8,14297.5,14288.1,14278.8,14269.4,14260
203,4P,14299.7,14290.3,14281,14271.6,14262.2,14252.8
204,4P,14292.5,14283.2,14273.8,14264.5,14255.1,14245.7
205,4P,14285.4,14276,14266.7,14257.3,14248,14238.6
206,4P,14278.2,14268.9,14259.6,14250.2,14240.8,14231.4
207,4P,14271.1,14261.8,14252.4,14243.1,14233.7,14224.3
208,4P,14263.9,14254.6,14245.3,14235.9,14226.5,14217.1
209,4P,14256.8,14247.5,14238.1,14228.8,14219.4,14210
210,4P,14249.7,14240.3,14231,14221.6,14212.3,14202.8
211,4P,14242.5,14233.2,14223.9,14214.5,14205.1,14195.7
212,4P,14235.4,14226.1,14216.7,14207.4,14198,14188.6
213,4P,14228.2,14218.9,14209.6,14200.2,14190.8,14181.4
214,4P,14221.1,14211.8,14202.4,14193.1,14183.7,14174.3
215,4P,14214,14204.6,14195.3,14185.9,14176.5,14167.1
216,4P,14206.8,14197.5,14188.2,14178.8,14169.4,14160
217,4P,14199.7,14190.4,14181,14171.6,14162.3,14152.9
218,4P,14192.5,14183.2,14173.9,14164.5,14155.1,14145.7
219,4P,14185.4,14176.1,14166.7,14157.4,14148,14138.6
220,4P,14178.3,14168.9,14159.6,14150.2,14140.8,14131.4
221,4P,14171.1,14161.8,14152.5,14143.1,14133.7,14124.3
222,4P,14164,14154.7,14145.3,14135.9,14126.6,14117.1
223,4P,14156.8,14147.5,14138.2,14128.8,14119.4,14110
224,4P,14149.7,14140.4,14131,14121.7,14112.3,14102.9
225,4P,14142.6,14133.2,14123.9,14114.5,14105.1,14095.7
226,4P,14135.4,14126.1,14116.7,14107.4,14098,14088.6
227,4P,14128.3,14118.9,14109.6,14100.2,14090.8,14081.4
228,4P,14121.1,14111.8,14102.5,14093.1,14083.7,14074.3
229,4P,14114,14104.7,14095.3,14086,14076.6,14067.2
230,4P,14106.8,14097.5,14088.2,14078.8,14069.4,14060
231,4P,14099.7,14090.4,14081,14071.7,14062.3,14052.9
232,4P,14092.6,14083.2,14073.9,14064.5,14055.1,14045.7
233,4P,14085.4,14076.1,14066.8,14057.4,14048,14038.6
234,4P,14078.3,14069,14059.6,14050.2,14040.9,14031.4
235,4P,14071.1,14061.8,14052.5,14043.1,14033.7,14024.3
236,4P,14064,14054.7,14045.3,14036,14026.6,14017.2
237,4P,14056.9,14047.5,14038.2,14028.8,14019.4,14010
238,4P,14049.7,14040.4,14031.1,14021.7,14012.3,14002.9
239,4P,14042.6,14033.3,14023.9,14014.5,14005.1,13995.7
240,4P,14035.4,14026.1,14016.8,14007.4,13998,13988.6
241,4P,14028.3,14019,14009.6,14000.3,13990.9,13981.4
242,4P,14021.1,14011.8,14002.5,13993.1,13983.7,13974.3
243,4P,14014,14004.7,13995.3,13986,13976.6,13967.2
244,4P,14006.9,13997.5,13988.2,13978.8,13969.4,13960
245,4P,13999.7,13990.4,13981.1,13971.7,13962.3,13952.9
246,4P,13992.6,13983.3,13973.9,13964.6,13955.2,13945.7
247,4P,13985.4,13976.1,13966.8,13957.4,13948,13938.6
248,4P,13978.3,13969,13959.6,13950.3,13940.9,13931.5
249,4P,13971.2,13961.8,13952.5,13943.1,13933.7,13924.3
250,4P,13964,13954.7,13945.4,13936,13926.6,13917.2
251,4P,13956.9,13947.6,13938.2,13928.8,13919.4,13910
252,4P,13949.7,13940.4,13931.1,13921.7,13912.3,13902.9
253,4P,13942.6,13933.3,13923.9,13914.6,13905.2,13895.7
254,4P,13935.5,13926.1,13916.8,13907.4,13898,13888.6
255,4P,13928.3,13919,13909.7,13900.3,13890.9,13881.5
256,4P,13921.2,13911.9,13902.5,13893.1,13883.7,13874.3
257,4P,13914,13904.7,13895.4,13886,13876.6,13867.2
258,4P,13906.9,13897.6,13888.2,13878.9,13869.5,13860
259,4P,13899.8,13890.4,13881.1,13871.7,13862.3,13852.9
260,4P,13892.6,13883.3,13873.9,13864.6,13855.2,13845.7
261,4P,13885.5,13876.1,13866.8,13857.4,13848,13838.6
262,4P,13878.3,13869,13859.7,13850.3,13840.9,13831.5
263,4P,13871.2,13861.9,13852.5,13843.2,13833.8,13824.3
264,4P,13864,13854.7,13845.4,13836,13826.6,13817.2
265,4P,13856.9,13847.6,13838.2,13828.9,13819.5,13810
266,4P,13849.8,13840.4,13831.1,13821.7,13812.3,13802.9
267,4P,13842.6,13833.3,13824,13814.6,13805.2,13795.8
268,4P,13835.5,13826.2,13816.8,13807.4,13798,13788.6
269,4P,13828.3,13819,13809.7,13800.3,13790.9,13781.5
270,4P,13821.2,13811.9,13802.5,13793.2,13783.8,13774.3
275,4P,13785.5,13776.2,13766.8,13757.5,13748.1,13738.6
280,4P,13749.8,13740.5,13731.1,13721.7,13712.3,13702.9
285,4P,13714.1,13704.8,13695.4,13686,13676.6,13667.2
290,4P,13678.4,13669.1,13659.7,13650.3,13640.9,13631.5
295,4P,13642.7,13633.4,13624,13614.6,13605.2,13595.8
300,4P,13607,13597.6,13588.3,13578.9,13569.5,13560.1
305,4P,13571.3,13561.9,13552.6,13543.2,13533.8,13524.4
310,4P,13535.6,13526.2,13516.9,13507.5,13498.1,13488.7
315,4P,13499.8,13490.5,13481.2,13471.8,13462.4,13452.9
320,4P,13464.1,13454.8,13445.5,13436.1,13426.7,13417.2
325,4P,13428.4,13419.1,13409.8,13400.4,13391,13381.5
330,4P,13392.7,13383.4,13374.1,13364.7,13355.3,13345.8
335,4P,13357,13347.7,13338.4,13329,13319.6,13310.1
340,4P,13321.3,13312,13302.7,13293.3,13283.8,13274.4
345,4P,13285.6,13276.3,13266.9,13257.6,13248.1,13238.7
350,4P,13249.9,13240.6,13231.2,13221.9,13212.4,13203
355,4P,13214.2,13204.9,13195.5,13186.2,13176.7,13167.3
360,4P,13178.5,13169.2,13159.8,13150.4,13141,13131.6
365,4P,13142.8,13133.5,13124.1,13114.7,13105.3,13095.8
370,4P,13107.1,13097.8,13088.4,13079,13069.6,13060.1
375,4P,13071.4,13062.1,13052.7,13043.3,13033.9,13024.4
380,4P,13035.7,13026.4,13017,13007.6,12998.2,12988.7
385,4P,13000,12990.7,12981.3,12971.9,12962.5,12953
390,4P,12964.3,12954.9,12945.6,12936.2,12926.8,12917.3
395,4P,12928.6,12919.2,12909.9,12900.5,12891.1,12881.6
400,4P,12892.9,12883.5,12874.2,12864.8,12855.4,12845.9
405,4P,12857.1,12847.8,12838.5,12829.1,12819.7,12810.2
410,4P,12821.4,12812.1,12802.8,12793.4,12783.9,12774.5
415,4P,12785.7,12776.4,12767.1,12757.7,12748.2,12738.8
420,4P,12750,12740.7,12731.4,12722,12712.5,12703
425,4P,12714.3,12705,12695.7,12686.3,12676.8,12667.3
430,4P,12678.6,12669.3,12660,12650.6,12641.1,12631.6
435,4P,12642.9,12633.6,12624.2,12614.8,12605.4,12595.9
440,4P,12607.2,12597.9,12588.5,12579.1,12569.7,12560.2
445,4P,12571.5,12562.2,12552.8,12543.4,12534,12524.5
450,4P,12535.8,12526.5,12517.1,12507.7,12498.3,12488.8
455,4P,12500.1,12490.8,12481.4,12472,12462.6,12453.1
460,4P,12464.4,12455.1,12445.7,12436.3,12426.9,12417.4
465,4P,12428.7,12419.4,12410,12400.6,12391.2,12381.7
470,4P,12393,12383.7,12374.3,12364.9,12355.5,12345.9
475,4P,12357.3,12348,12338.6,12329.2,12319.7,12310.2
480,4P,12321.6,12312.3,12302.9,12293.5,12284,12274.5
485,4P,12285.9,12276.5,12267.2,12257.8,12248.3,12238.8
490,4P,12250.2,12240.8,12231.5,12222.1,12212.6,12203.1
495,4P,12214.4,12205.1,12195.8,12186.4,12176.9,12167.4
500,4P,12178.7,12169.4,12160.1,12150.7,12141.2,12131.7
505,4P,12143,12133.7,12124.4,12115,12105.5,12096
510,4P,12107.3,12098,12088.7,12079.3,12069.8,12060.3
515,4P,12071.6,12062.3,12053,12043.5,12034.1,12024.6
520,4P,12035.9,12026.6,12017.3,12007.8,11998.4,11988.9
525,4P,12000.2,11990.9,11981.5,11972.1,11962.7,11953.1
530,4P,11964.5,11955.2,11945.8,11936.4,11927,11917.4
535,4P,11928.8,11919.5,11910.1,11900.7,11891.3,11881.7
540,4P,11893.1,11883.8,11874.4,11865,11855.5,11846
545,4P,11857.4,11848.1,11838.7,11829.3,11819.8,11810.3
550,4P,11821.7,11812.4,11803,11793.6,11784.1,11774.6
555,4P,11786,11776.7,11767.3,11757.9,11748.4,11738.9
560,4P,11750.3,11741,11731.6,11722.2,11712.7,11703.2
565,4P,11714.6,11705.3,11695.9,11686.5,11677,11667.5
570,4P,11678.9,11669.6,11660.2,11650.8,11641.3,11631.8
575,4P,11643.2,11633.9,11624.5,11615.1,11605.6,11596.1
580,4P,11607.4,11598.1,11588.8,11579.4,11569.9,11560.3
585,4P,11571.7,11562.4,11553.1,11543.7,11534.2,11524.6
590,4P,11536,11526.7,11517.4,11508,11498.5,11488.9
595,4P,11500.3,11491,11481.7,11472.2,11462.8,11453.2
600,4P,11464.6,11455.3,11446,11436.5,11427.1,11417.5
605,4P,11428.9,11419.6,11410.3,11400.8,11391.3,11381.8
610,4P,11393.2,11383.9,11374.5,11365.1,11355.6,11346.1
615,4P,11357.5,11348.2,11338.8,11329.4,11319.9,11310.4
620,4P,11321.8,11312.5,11303.1,11293.7,11284.2,11274.7
625,4P,11286.1,11276.8,11267.4,11258,11248.5,11239
630,4P,11250.4,11241.1,11231.7,11222.3,11212.8,11203.2
635,4P,11214.7,11205.4,11196,11186.6,11177.1,11167.5
640,4P,11179,11169.7,11160.3,11150.9,11141.4,11131.8
645,4P,11143.3,11134,11124.6,11115.2,11105.7,11096.1
650,4P,11107.6,11098.3,11088.9,11079.5,11070,11060.4
655,4P,11071.9,11062.6,11053.2,11043.8,11034.3,11024.7
660,4P,11036.2,11026.9,11017.5,11008.1,10998.6,10989
665,4P,11000.5,10991.2,10981.8,10972.4,10962.9,10953.3
670,4P,10964.7,10955.4,10946.1,10936.6,10927.1,10917.6
675,4P,10929,10919.7,10910.4,10900.9,10891.4,10881.9
680,4P,10893.3,10884,10874.7,10865.2,10855.7,10846.2
685,4P,10857.6,10848.3,10839,10829.5,10820,10810.4
690,4P,10821.9,10812.6,10803.3,10793.8,10784.3,10774.7
695,4P,10786.2,10776.9,10767.6,10758.1,10748.6,10739
700,4P,10750.5,10741.2,10731.8,10722.4,10712.9,10703.3
705,4P,10714.8,10705.5,10696.1,10686.7,10677.2,10667.6
710,4P,10679.1,10669.8,10660.4,10651,10641.5,10631.9
715,4P,10643.4,10634.1,10624.7,10615.3,10605.8,10596.2
720,4P,10607.7,10598.4,10589,10579.6,10570.1,10560.5
725,4P,10572,10562.7,10553.3,10543.9,10534.4,10524.8
730,4P,10536.3,10527,10517.6,10508.2,10498.7,10489.1
735,4P,10500.6,10491.3,10481.9,10472.5,10462.9,10453.3
740,4P,10464.9,10455.6,10446.2,10436.8,10427.2,10417.6
745,4P,10429.2,10419.9,10410.5,10401.1,10391.5,10381.9
750,4P,10393.5,10384.2,10374.8,10365.3,10355.8,10346.2
755,4P,10357.8,10348.5,10339.1,10329.6,10320.1,10310.5
760,4P,10322,10312.8,10303.4,10293.9,10284.4,10274.8
765,4P,10286.3,10277,10267.7,10258.2,10248.7,10239.1
770,4P,10250.6,10241.3,10232,10222.5,10213,10203.4
775,4P,10214.9,10205.6,10196.3,10186.8,10177.3,10167.7
780,4P,10179.2,10169.9,10160.6,10151.1,10141.6,10132
785,4P,10143.5,10134.2,10124.9,10115.4,10105.9,10096.3
790,4P,10107.8,10098.5,10089.1,10079.7,10070.2,10060.5
795,4P,10072.1,10062.8,10053.4,10044,10034.5,10024.8
800,4P,10036.4,10027.1,10017.7,10008.3,9998.7,9989.1
805,4P,10000.7,9991.4,9982,9972.6,9963,9953.4
810,4P,9965,9955.7,9946.3,9936.9,9927.3,9917.7
815,4P,9929.3,9920,9910.6,9901.2,9891.6,9882
820,4P,9893.6,9884.3,9874.9,9865.5,9855.9,9846.3
825,4P,9857.9,9848.6,9839.2,9829.8,9820.2,9810.6
830,4P,9822.2,9812.9,9803.5,9794,9784.5,9774.9
835,4P,9786.5,9777.2,9767.8,9758.3,9748.8,9739.2
840,4P,9750.8,9741.5,9732.1,9722.6,9713.1,9703.5
845,4P,9715,9705.8,9696.4,9686.9,9677.4,9667.7
850,4P,9679.3,9670.1,9660.7,9651.2,9641.7,9632
855,4P,9643.6,9634.4,9625,9615.5,9606,9596.3
860,4P,9607.9,9598.6,9589.3,9579.8,9570.3,9560.6
865,4P,9572.2,9562.9,9553.6,9544.1,9534.5,9524.9
870,4P,9536.5,9527.2,9517.9,9508.4,9498.8,9489.2
875,4P,9500.8,9491.5,9482.2,9472.7,9463.1,9453.5
880,4P,9465.1,9455.8,9446.4,9437,9427.4,9417.8
885,4P,9429.4,9420.1,9410.7,9401.3,9391.7,9382.1
890,4P,9393.7,9384.4,9375,9365.6,9356,9346.4
895,4P,9358,9348.7,9339.3,9329.9,9320.3,9310.6
900,4P,9322.3,9313,9303.6,9294.2,9284.6,9274.9
905,4P,9286.6,9277.3,9267.9,9258.4,9248.9,9239.2
910,4P,9250.9,9241.6,9232.2,9222.7,9213.2,9203.5
915,4P,9215.2,9205.9,9196.5,9187,9177.5,9167.8
920,4P,9179.5,9170.2,9160.8,9151.3,9141.8,9132.1
925,4P,9143.8,9134.5,9125.1,9115.6,9106.1,9096.4
930,4P,9108.1,9098.8,9089.4,9079.9,9070.3,9060.7
