Ullage  (cm.),Tank,-1,0,1,2,3,4
0,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
1,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
2,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
3,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
4,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
5,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
6,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
7,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
8,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
9,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
10,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
11,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
12,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
13,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
14,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
15,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
16,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
17,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.1
18,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900.1
19,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900
20,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10900
21,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10899.9
22,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10899.8
23,1P,10900.2,10900.2,10900.2,10900.2,10900.2,10899.7
24,1P,10900.2,10900.2,10900.2,10900.2,10900.1,10899.6
25,1P,10900.2,10900.2,10900.2,10900.2,10900.1,10899.4
26,1P,10900.2,10900.2,10900.2,10900.2,10900,10899.2
27,1P,10900.2,10900.2,10900.2,10900.2,10900,10899.1
28,1P,10900.2,10900.2,10900.2,10900.2,10899.9,10898.8
29,1P,10900.2,10900.2,10900.2,10900.2,10899.8,10898.6
30,1P,10900.2,10900.2,10900.2,10900.2,10899.7,10898.3
31,1P,10900.2,10900.2,10900.2,10900.1,10899.5,10898
32,1P,10900.2,10900.2,10900.2,10900.1,10899.3,10897.7
33,1P,10900.2,10900.2,10900.2,10900,10899.1,10897.3
34,1P,10900.2,10900.2,10900.2,10900,10898.9,10896.9
35,1P,10900.2,10900.2,10900.2,10899.8,10898.6,10896.5
36,1P,10900.2,10900.2,10900.2,10899.7,10898.4,10896.1
37,1P,10900.2,10900.2,10900.2,10899.6,10898,10895.6
38,1P,10900.2,10900.2,10900.1,10899.4,10897.7,10895
39,1P,10900.2,10900.2,10900.1,10899.1,10897.3,10894.4
40,1P,10900.2,10900.2,10900,10898.9,10896.8,10893.8
41,1P,10900.1,10900.2,10899.9,10898.6,10896.3,10893.2
42,1P,10900.1,10900.2,10899.7,10898.2,10895.8,10892.5
43,1P,10900,10900.1,10899.5,10897.8,10895.2,10891.7
44,1P,10899.9,10900,10899.2,10897.4,10894.6,10890.9
45,1P,10899.7,10899.8,10898.9,10896.9,10894,10890.1
46,1P,10899.5,10899.6,10898.5,10896.4,10893.2,10889.2
47,1P,10899.2,10899.2,10898,10895.7,10892.5,10888.2
48,1P,10898.9,10898.8,10897.5,10895.1,10891.6,10887.2
49,1P,10898.5,10898.3,10896.9,10894.4,10890.7,10886.2
50,1P,10898.1,10897.8,10896.2,10893.6,10889.8,10885
51,1P,10897.6,10897.1,10895.5,10892.7,10888.8,10883.9
52,1P,10897,10896.4,10894.7,10891.8,10887.7,10882.7
53,1P,10896.3,10895.6,10893.8,10890.8,10886.6,10881.4
54,1P,10895.6,10894.8,10892.8,10889.7,10885.4,10880
55,1P,10894.8,10893.8,10891.8,10888.5,10884.1,10878.6
56,1P,10893.9,10892.8,10890.7,10887.3,10882.8,10877.1
57,1P,10892.9,10891.8,10889.5,10886,10881.4,10875.6
58,1P,10891.9,10890.6,10888.2,10884.6,10879.9,10874
59,1P,10890.8,10889.4,10886.9,10883.2,10878.3,10872.4
60,1P,10889.6,10888.1,10885.5,10881.7,10876.7,10870.6
61,1P,10888.4,10886.8,10884,10880.1,10875,10868.9
62,1P,10887,10885.3,10882.4,10878.4,10873.2,10867
63,1P,10885.6,10883.8,10880.8,10876.7,10871.4,10865.1
64,1P,10884.2,10882.2,10879.1,10874.9,10869.5,10863.1
65,1P,10882.6,10880.6,10877.4,10873,10867.5,10861
66,1P,10881,10878.8,10875.5,10871,10865.4,10858.9
67,1P,10879.3,10877,10873.6,10869,10863.3,10856.7
68,1P,10877.6,10875.2,10871.6,10866.9,10861.1,10854.5
69,1P,10875.7,10873.2,10869.6,10864.7,10858.9,10852.2
70,1P,10873.8,10871.2,10867.4,10862.5,10856.5,10849.8
71,1P,10871.8,10869.1,10865.2,10860.2,10854.1,10847.4
72,1P,10869.8,10866.9,10862.9,10857.8,10851.7,10844.9
73,1P,10867.7,10864.7,10860.6,10855.3,10849.2,10842.4
74,1P,10865.5,10862.4,10858.2,10852.8,10846.6,10839.8
75,1P,10863.2,10860,10855.7,10850.2,10844,10837.1
76,1P,10860.8,10857.5,10853.1,10847.6,10841.3,10834.4
77,1P,10858.4,10855,10850.4,10844.8,10838.5,10831.6
78,1P,10855.9,10852.4,10847.7,10842.1,10835.7,10828.8
79,1P,10853.4,10849.7,10844.9,10839.2,10832.8,10825.9
80,1P,10850.7,10847,10842.1,10836.3,10829.9,10822.9
81,1P,10848,10844.2,10839.2,10833.3,10826.9,10819.9
82,1P,10845.2,10841.3,10836.2,10830.3,10823.8,10816.9
83,1P,10842.4,10838.3,10833.1,10827.2,10820.7,10813.8
84,1P,10839.5,10835.3,10830,10824.1,10817.5,10810.6
85,1P,10836.5,10832.1,10826.8,10820.8,10814.3,10807.4
86,1P,10833.4,10829,10823.6,10817.6,10811.1,10804.1
87,1P,10830.2,10825.7,10820.3,10814.2,10807.7,10800.8
88,1P,10827,10822.4,10816.9,10810.9,10804.3,10797.5
89,1P,10823.7,10819,10813.5,10807.4,10800.9,10794.1
90,1P,10820.4,10815.5,10810,10803.9,10797.4,10790.6
91,1P,10816.9,10812,10806.4,10800.4,10793.9,10787.1
92,1P,10813.4,10808.5,10802.8,10796.8,10790.3,10783.5
93,1P,10809.8,10804.8,10799.2,10793.1,10786.7,10779.9
94,1P,10806.2,10801.1,10795.5,10789.4,10783,10776.3
95,1P,10802.5,10797.3,10791.7,10785.6,10779.2,10772.6
96,1P,10798.7,10793.5,10787.9,10781.8,10775.5,10768.8
97,1P,10794.8,10789.6,10784,10778,10771.6,10765
98,1P,10790.9,10785.7,10780.1,10774.1,10767.8,10761.2
99,1P,10786.9,10781.7,10776.1,10770.1,10763.9,10757.3
100,1P,10782.9,10777.7,10772,10766.1,10759.9,10753.4
101,1P,10778.8,10773.6,10768,10762.1,10755.9,10749.5
102,1P,10774.6,10769.4,10763.8,10758,10751.8,10745.5
103,1P,10770.4,10765.2,10759.7,10753.8,10747.7,10741.4
104,1P,10766.1,10761,10755.4,10749.7,10743.6,10737.3
105,1P,10761.8,10756.7,10751.2,10745.4,10739.4,10733.2
106,1P,10757.5,10752.3,10746.9,10741.2,10735.2,10729.1
107,1P,10753,10747.9,10742.5,10736.9,10731,10724.9
108,1P,10748.6,10743.5,10738.1,10732.5,10726.7,10720.6
109,1P,10744,10739,10733.7,10728.1,10722.4,10716.4
110,1P,10739.5,10734.5,10729.2,10723.7,10718,10712
111,1P,10734.8,10729.9,10724.7,10719.3,10713.6,10707.7
112,1P,10730.2,10725.3,10720.1,10714.8,10709.2,10703.3
113,1P,10725.5,10720.6,10715.5,10710.2,10704.7,10698.9
114,1P,10720.7,10715.9,10710.9,10705.6,10700.2,10694.5
115,1P,10716,10711.2,10706.2,10701,10695.6,10690
116,1P,10711.1,10706.4,10701.5,10696.4,10691.1,10685.5
117,1P,10706.3,10701.6,10696.8,10691.7,10686.4,10680.9
118,1P,10701.4,10696.8,10692,10687,10681.8,10676.4
119,1P,10696.4,10692,10687.2,10682.3,10677.1,10671.8
120,1P,10691.5,10687.1,10682.4,10677.5,10672.4,10667.1
121,1P,10686.5,10682.1,10677.5,10672.7,10667.7,10662.5
122,1P,10681.5,10677.2,10672.7,10667.9,10663,10657.8
123,1P,10676.4,10672.2,10667.7,10663.1,10658.2,10653.1
124,1P,10671.4,10667.2,10662.8,10658.2,10653.4,10648.3
125,1P,10666.3,10662.2,10657.8,10653.3,10648.5,10643.5
126,1P,10661.2,10657.1,10652.9,10648.4,10643.7,10638.7
127,1P,10656.1,10652.1,10647.8,10643.4,10638.8,10633.9
128,1P,10650.9,10647,10642.8,10638.5,10633.9,10629.1
129,1P,10645.8,10641.9,10637.8,10633.5,10629,10624.2
130,1P,10640.7,10636.8,10632.7,10628.5,10624,10619.3
131,1P,10635.5,10631.7,10627.7,10623.5,10619.1,10614.4
132,1P,10630.4,10626.5,10622.6,10618.4,10614.1,10609.5
133,1P,10625.3,10621.4,10617.5,10613.4,10609.1,10604.6
134,1P,10620.1,10616.3,10612.4,10608.3,10604.1,10599.6
135,1P,10615,10611.1,10607.3,10603.2,10599,10594.7
136,1P,10609.9,10606,10602.1,10598.1,10594,10589.7
137,1P,10604.7,10600.9,10597,10593,10588.9,10584.7
138,1P,10599.6,10595.7,10591.9,10587.9,10583.9,10579.6
139,1P,10594.5,10590.6,10586.7,10582.8,10578.8,10574.6
140,1P,10589.3,10585.5,10581.6,10577.7,10573.7,10569.6
141,1P,10584.2,10580.3,10576.5,10572.6,10568.6,10564.5
142,1P,10579.1,10575.2,10571.3,10567.5,10563.5,10559.4
143,1P,10573.9,10570.1,10566.2,10562.3,10558.4,10554.4
144,1P,10568.8,10564.9,10561.1,10557.2,10553.3,10549.3
145,1P,10563.7,10559.8,10555.9,10552.1,10548.2,10544.2
146,1P,10558.5,10554.7,10550.8,10546.9,10543,10539.1
147,1P,10553.4,10549.6,10545.7,10541.8,10537.9,10534
148,1P,10548.3,10544.4,10540.5,10536.7,10532.8,10528.8
149,1P,10543.1,10539.3,10535.4,10531.5,10527.6,10523.7
150,1P,10538,10534.2,10530.3,10526.4,10522.5,10518.6
151,1P,10532.9,10529,10525.1,10521.3,10517.4,10513.5
152,1P,10527.7,10523.9,10520,10516.1,10512.2,10508.3
153,1P,10522.6,10518.8,10514.9,10511,10507.1,10503.2
154,1P,10517.5,10513.6,10509.7,10505.9,10502,10498.1
155,1P,10512.3,10508.5,10504.6,10500.7,10496.8,10492.9
156,1P,10507.2,10503.4,10499.5,10495.6,10491.7,10487.8
157,1P,10502.1,10498.2,10494.4,10490.5,10486.6,10482.7
158,1P,10496.9,10493.1,10489.2,10485.3,10481.4,10477.5
159,1P,10491.8,10488,10484.1,10480.2,10476.3,10472.4
160,1P,10486.7,10482.8,10478.9,10475.1,10471.2,10467.3
161,1P,10481.5,10477.7,10473.8,10469.9,10466,10462.1
162,1P,10476.4,10472.6,10468.7,10464.8,10460.9,10457
163,1P,10471.3,10467.4,10463.6,10459.7,10455.8,10451.9
164,1P,10466.2,10462.3,10458.4,10454.5,10450.6,10446.7
165,1P,10461,10457.2,10453.3,10449.4,10445.5,10441.6
166,1P,10455.9,10452,10448.2,10444.3,10440.4,10436.5
167,1P,10450.8,10446.9,10443,10439.1,10435.2,10431.3
168,1P,10445.6,10441.8,10437.9,10434,10430.1,10426.2
169,1P,10440.5,10436.6,10432.8,10428.9,10425,10421.1
170,1P,10435.4,10431.5,10427.6,10423.7,10419.8,10415.9
171,1P,10430.2,10426.4,10422.5,10418.6,10414.7,10410.8
172,1P,10425.1,10421.2,10417.4,10413.5,10409.6,10405.7
173,1P,10420,10416.1,10412.2,10408.3,10404.4,10400.5
174,1P,10414.8,10411,10407.1,10403.2,10399.3,10395.4
175,1P,10409.7,10405.8,10402,10398.1,10394.2,10390.3
176,1P,10404.6,10400.7,10396.8,10392.9,10389,10385.1
177,1P,10399.4,10395.6,10391.7,10387.8,10383.9,10380
178,1P,10394.3,10390.4,10386.6,10382.7,10378.8,10374.9
179,1P,10389.2,10385.3,10381.4,10377.5,10373.6,10369.7
180,1P,10384,10380.2,10376.3,10372.4,10368.5,10364.6
181,1P,10378.9,10375,10371.2,10367.3,10363.4,10359.5
182,1P,10373.8,10369.9,10366,10362.1,10358.2,10354.3
183,1P,10368.6,10364.8,10360.9,10357,10353.1,10349.2
184,1P,10363.5,10359.6,10355.8,10351.9,10348,10344.1
185,1P,10358.4,10354.5,10350.6,10346.7,10342.8,10338.9
186,1P,10353.2,10349.4,10345.5,10341.6,10337.7,10333.8
187,1P,10348.1,10344.2,10340.4,10336.5,10332.6,10328.7
188,1P,10343,10339.1,10335.2,10331.3,10327.4,10323.5
189,1P,10337.8,10334,10330.1,10326.2,10322.3,10318.4
190,1P,10332.7,10328.8,10325,10321.1,10317.2,10313.3
191,1P,10327.6,10323.7,10319.8,10315.9,10312,10308.1
192,1P,10322.4,10318.6,10314.7,10310.8,10306.9,10303
193,1P,10317.3,10313.4,10309.6,10305.7,10301.8,10297.9
194,1P,10312.2,10308.3,10304.4,10300.5,10296.6,10292.7
195,1P,10307,10303.2,10299.3,10295.4,10291.5,10287.6
196,1P,10301.9,10298,10294.2,10290.3,10286.4,10282.5
197,1P,10296.8,10292.9,10289,10285.1,10281.2,10277.3
198,1P,10291.6,10287.8,10283.9,10280,10276.1,10272.2
199,1P,10286.5,10282.6,10278.8,10274.9,10271,10267.1
200,1P,10281.4,10277.5,10273.6,10269.8,10265.8,10261.9
201,1P,10276.2,10272.4,10268.5,10264.6,10260.7,10256.8
202,1P,10271.1,10267.2,10263.4,10259.5,10255.6,10251.7
203,1P,10266,10262.1,10258.2,10254.3,10250.4,10246.5
204,1P,10260.8,10257,10253.1,10249.2,10245.3,10241.4
205,1P,10255.7,10251.8,10248,10244.1,10240.2,10236.3
206,1P,10250.6,10246.7,10242.8,10239,10235,10231.1
207,1P,10245.4,10241.6,10237.7,10233.8,10229.9,10226
208,1P,10240.3,10236.4,10232.6,10228.7,10224.8,10220.9
