Ullage  (cm.),Tank,-1,0,1,2,3,4
0,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
1,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
2,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
3,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
4,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
5,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
6,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
7,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
8,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
9,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
10,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
11,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
12,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
13,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
14,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
15,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
16,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
17,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
18,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
19,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
20,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.2
21,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.1
22,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900.1
23,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900
24,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10900
25,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10899.9
26,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10899.8
27,1S,10900.2,10900.2,10900.2,10900.2,10900.2,10899.7
28,1S,10900.2,10900.2,10900.2,10900.2,10900.1,10899.6
29,1S,10900.2,10900.2,10900.2,10900.2,10900.1,10899.4
30,1S,10900.2,10900.2,10900.2,10900.2,10900.1,10899.3
31,1S,10900.2,10900.2,10900.2,10900.2,10900,10899.1
32,1S,10900.2,10900.2,10900.2,10900.2,10899.9,10898.9
33,1S,10900.2,10900.2,10900.2,10900.2,10899.8,10898.6
34,1S,10900.2,10900.2,10900.2,10900.2,10899.7,10898.4
35,1S,10900.2,10900.2,10900.2,10900.1,10899.5,10898.1
36,1S,10900.2,10900.2,10900.2,10900.1,10899.4,10897.8
37,1S,10900.2,10900.2,10900.2,10900,10899.2,10897.4
38,1S,10900.2,10900.2,10900.2,10900,10899,10897
39,1S,10900.2,10900.2,10900.2,10899.9,10898.7,10896.6
40,1S,10900.2,10900.2,10900.2,10899.7,10898.4,10896.2
41,1S,10900.2,10900.2,10900.2,10899.6,10898.1,10895.7
42,1S,10900.2,10900.2,10900.1,10899.4,10897.7,10895.1
43,1S,10900.2,10900.2,10900.1,10899.2,10897.3,10894.6
44,1S,10900.2,10900.2,10900,10898.9,10896.9,10894
45,1S,10900.1,10900.2,10899.9,10898.6,10896.4,10893.3
46,1S,10900.1,10900.2,10899.7,10898.3,10895.9,10892.6
47,1S,10900,10900.2,10899.5,10897.9,10895.4,10891.9
48,1S,10899.9,10900.1,10899.3,10897.5,10894.8,10891.1
49,1S,10899.8,10899.9,10899,10897,10894.1,10890.2
50,1S,10899.6,10899.6,10898.6,10896.5,10893.4,10889.3
51,1S,10899.3,10899.3,10898.1,10895.9,10892.6,10888.4
52,1S,10899,10898.9,10897.6,10895.2,10891.8,10887.4
53,1S,10898.6,10898.4,10897,10894.5,10890.9,10886.4
54,1S,10898.2,10897.9,10896.4,10893.7,10890,10885.3
55,1S,10897.7,10897.2,10895.6,10892.9,10889,10884.1
56,1S,10897.1,10896.6,10894.8,10892,10887.9,10882.9
57,1S,10896.5,10895.8,10894,10891,10886.8,10881.6
58,1S,10895.7,10895,10893,10889.9,10885.6,10880.3
59,1S,10894.9,10894,10892,10888.8,10884.4,10878.9
60,1S,10894.1,10893.1,10890.9,10887.5,10883.1,10877.4
61,1S,10893.1,10892,10889.7,10886.3,10881.7,10875.9
62,1S,10892.1,10890.9,10888.5,10884.9,10880.2,10874.3
63,1S,10891,10889.7,10887.2,10883.5,10878.6,10872.7
64,1S,10889.8,10888.4,10885.8,10882,10877,10871
65,1S,10888.6,10887,10884.3,10880.4,10875.3,10869.2
66,1S,10887.3,10885.6,10882.8,10878.8,10873.6,10867.4
67,1S,10885.9,10884.1,10881.2,10877,10871.7,10865.5
68,1S,10884.5,10882.5,10879.5,10875.2,10869.8,10863.5
69,1S,10882.9,10880.9,10877.7,10873.4,10867.9,10861.5
70,1S,10881.3,10879.2,10875.9,10871.4,10865.8,10859.4
71,1S,10879.7,10877.4,10874,10869.4,10863.7,10857.2
72,1S,10877.9,10875.5,10872,10867.3,10861.6,10855
73,1S,10876.1,10873.6,10870,10865.2,10859.3,10852.7
74,1S,10874.2,10871.6,10867.9,10862.9,10857,10850.3
75,1S,10872.2,10869.5,10865.7,10860.6,10854.6,10847.9
76,1S,10870.2,10867.4,10863.4,10858.3,10852.2,10845.4
77,1S,10868.1,10865.2,10861.1,10855.8,10849.7,10842.9
78,1S,10865.9,10862.9,10858.6,10853.3,10847.1,10840.3
79,1S,10863.6,10860.5,10856.2,10850.7,10844.5,10837.6
80,1S,10861.3,10858,10853.6,10848.1,10841.8,10834.9
81,1S,10858.9,10855.5,10851,10845.4,10839.1,10832.2
82,1S,10856.4,10852.9,10848.3,10842.6,10836.3,10829.3
83,1S,10853.9,10850.3,10845.5,10839.8,10833.4,10826.5
84,1S,10851.3,10847.5,10842.7,10836.9,10830.5,10823.5
85,1S,10848.6,10844.7,10839.8,10833.9,10827.5,10820.5
86,1S,10845.8,10841.9,10836.8,10830.9,10824.4,10817.5
87,1S,10843,10838.9,10833.7,10827.8,10821.3,10814.4
88,1S,10840,10835.9,10830.6,10824.7,10818.2,10811.3
89,1S,10837.1,10832.8,10827.5,10821.5,10815,10808.1
90,1S,10834,10829.6,10824.2,10818.2,10811.7,10804.8
91,1S,10830.9,10826.4,10820.9,10814.9,10808.4,10801.5
92,1S,10827.7,10823.1,10817.6,10811.5,10805,10798.1
93,1S,10824.4,10819.7,10814.2,10808.1,10801.6,10794.7
94,1S,10821,10816.2,10810.7,10804.6,10798.1,10791.3
95,1S,10817.6,10812.7,10807.2,10801.1,10794.6,10787.8
96,1S,10814.1,10809.2,10803.6,10797.5,10791,10784.2
97,1S,10810.5,10805.5,10799.9,10793.8,10787.4,10780.6
98,1S,10806.9,10801.9,10796.2,10790.1,10783.7,10777
99,1S,10803.2,10798.1,10792.5,10786.4,10780,10773.3
100,1S,10799.4,10794.3,10788.6,10782.6,10776.2,10769.6
101,1S,10795.6,10790.4,10784.8,10778.7,10772.4,10765.8
102,1S,10791.7,10786.5,10780.8,10774.8,10768.5,10762
103,1S,10787.7,10782.5,10776.9,10770.9,10764.6,10758.1
104,1S,10783.7,10778.5,10772.9,10766.9,10760.7,10754.2
105,1S,10779.6,10774.4,10768.8,10762.9,10756.7,10750.2
106,1S,10775.5,10770.2,10764.7,10758.8,10752.7,10746.3
107,1S,10771.3,10766.1,10760.5,10754.7,10748.6,10742.2
108,1S,10767,10761.8,10756.3,10750.5,10744.4,10738.2
109,1S,10762.7,10757.5,10752,10746.3,10740.3,10734
110,1S,10758.3,10753.2,10747.7,10742,10736.1,10729.9
111,1S,10753.9,10748.8,10743.4,10737.7,10731.8,10725.7
112,1S,10749.4,10744.4,10739,10733.4,10727.5,10721.5
113,1S,10744.9,10739.9,10734.6,10729,10723.2,10717.2
114,1S,10740.4,10735.4,10730.1,10724.6,10718.9,10712.9
115,1S,10735.8,10730.8,10725.6,10720.1,10714.5,10708.6
116,1S,10731.1,10726.2,10721,10715.7,10710,10704.2
117,1S,10726.4,10721.6,10716.5,10711.1,10705.6,10699.8
118,1S,10721.7,10716.9,10711.8,10706.6,10701.1,10695.4
119,1S,10716.9,10712.2,10707.2,10702,10696.5,10690.9
120,1S,10712.1,10707.4,10702.5,10697.3,10692,10686.4
121,1S,10707.2,10702.6,10697.8,10692.7,10687.4,10681.8
122,1S,10702.4,10697.8,10693,10688,10682.7,10677.3
123,1S,10697.4,10692.9,10688.2,10683.2,10678.1,10672.7
124,1S,10692.5,10688,10683.4,10678.5,10673.4,10668
125,1S,10687.5,10683.1,10678.5,10673.7,10668.7,10663.4
126,1S,10682.5,10678.2,10673.6,10668.9,10663.9,10658.7
127,1S,10677.4,10673.2,10668.7,10664,10659.1,10654
128,1S,10672.4,10668.2,10663.8,10659.2,10654.3,10649.3
129,1S,10667.3,10663.2,10658.8,10654.3,10649.5,10644.5
130,1S,10662.2,10658.1,10653.9,10649.4,10644.6,10639.7
131,1S,10657.1,10653.1,10648.9,10644.4,10639.8,10634.9
132,1S,10652,10648,10643.8,10639.5,10634.9,10630.1
133,1S,10646.8,10642.9,10638.8,10634.5,10629.9,10625.2
134,1S,10641.7,10637.8,10633.7,10629.5,10625,10620.3
135,1S,10636.6,10632.7,10628.7,10624.5,10620,10615.4
136,1S,10631.4,10627.6,10623.6,10619.4,10615.1,10610.5
