Ullage  (cm.),-1,0,1,2,3,4
0,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
1,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
2,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
3,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
4,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
5,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
6,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
7,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
8,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
9,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
10,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
11,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
12,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
13,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
14,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
15,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
16,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
17,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
18,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
19,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
20,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
21,15208.3,15208.3,15208.3,15208.3,15208.3,15208.2
22,15208.3,15208.3,15208.3,15208.3,15208.3,15208.2
23,15208.3,15208.3,15208.3,15208.3,15208.3,15208.2
24,15208.3,15208.3,15208.3,15208.3,15208.3,15208.1
25,15208.3,15208.3,15208.3,15208.3,15208.3,15208
26,15208.3,15208.3,15208.3,15208.3,15208.3,15207.9
27,15208.3,15208.3,15208.3,15208.3,15208.2,15207.8
28,15208.3,15208.3,15208.3,15208.3,15208.2,15207.7
29,15208.3,15208.3,15208.3,15208.3,15208.1,15207.5
30,15208.3,15208.3,15208.3,15208.3,15208,15207.4
31,15208.3,15208.3,15208.3,15208.3,15207.9,15207.2
32,15208.3,15208.3,15208.3,15208.2,15207.8,15207
33,15208.3,15208.3,15208.3,15208.2,15207.7,15206.7
34,15208.3,15208.3,15208.3,15208.1,15207.5,15206.4
35,15208.3,15208.3,15208.3,15208,15207.3,15206.2
36,15208.3,15208.3,15208.3,15207.9,15207.1,15205.8
37,15208.2,15208.3,15208.2,15207.7,15206.8,15205.5
38,15208.1,15208.3,15208.2,15207.6,15206.5,15205.1
39,15208,15208.3,15208,15207.3,15206.2,15204.7
40,15207.8,15208.2,15207.9,15207.1,15205.9,15204.2
41,15207.6,15208.1,15207.7,15206.8,15205.5,15203.7
42,15207.3,15207.9,15207.5,15206.5,15205,15203.2
43,15207,15207.6,15207.2,15206.1,15204.6,15202.6
44,15206.6,15207.2,15206.8,15205.7,15204,15202
45,15206.2,15206.8,15206.4,15205.2,15203.5,15201.3
46,15205.6,15206.3,15205.9,15204.7,15202.9,15200.6
47,15205,15205.7,15205.4,15204.1,15202.2,15199.8
48,15204.3,15205,15204.7,15203.5,15201.5,15199.1
49,15203.6,15204.3,15204,15202.7,15200.7,15198.2
50,15202.8,15203.5,15203.2,15202,15199.9,15197.3
51,15201.9,15202.6,15202.4,15201.1,15199,15196.4
52,15200.9,15201.7,15201.4,15200.2,15198.1,15195.4
53,15199.9,15200.6,15200.4,15199.3,15197.1,15194.3
54,15198.7,15199.6,15199.4,15198.2,15196.1,15193.2
55,15197.6,15198.4,15198.2,15197.1,15194.9,15192
56,15196.3,15197.1,15197,15195.9,15193.8,15190.8
57,15195,15195.8,15195.7,15194.6,15192.5,15189.5
58,15193.6,15194.5,15194.3,15193.3,15191.2,15188.2
59,15192.1,15193,15192.9,15191.8,15189.8,15186.8
60,15190.5,15191.5,15191.4,15190.3,15188.3,15185.3
61,15188.9,15189.9,15189.8,15188.8,15186.8,15183.8
62,15187.2,15188.2,15188.2,15187.1,15185.1,15182.1
63,15185.4,15186.4,15186.4,15185.4,15183.4,15180.5
64,15183.6,15184.6,15184.6,15183.6,15181.7,15178.7
65,15181.7,15182.7,15182.7,15181.8,15179.8,15176.9
66,15179.7,15180.7,15180.8,15179.9,15177.9,15175
67,15177.6,15178.7,15178.8,15177.9,15176,15173.1
68,15175.5,15176.6,15176.7,15175.8,15173.9,15171
69,15173.3,15174.4,15174.5,15173.6,15171.8,15168.9
70,15171,15172.1,15172.3,15171.4,15169.6,15166.7
71,15168.6,15169.8,15170,15169.1,15167.3,15164.5
72,15166.2,15167.4,15167.6,15166.8,15164.9,15162.1
73,15163.7,15164.9,15165.1,15164.3,15162.5,15159.7
74,15161.1,15162.4,15162.6,15161.8,15160,15157.3
75,15158.5,15159.7,15160,15159.2,15157.5,15154.7
76,15155.8,15157,15157.3,15156.6,15154.8,15152.1
77,15153,15154.3,15154.5,15153.8,15152.1,15149.4
78,15150.1,15151.4,15151.7,15151,15149.3,15146.6
79,15147.2,15148.5,15148.8,15148.1,15146.5,15143.8
80,15144.2,15145.5,15145.8,15145.2,15143.5,15140.9
81,15141.1,15142.4,15142.8,15142.2,15140.5,15137.9
82,15137.9,15139.3,15139.7,15139.1,15137.5,15134.9
83,15134.7,15136.1,15136.5,15135.9,15134.3,15131.7
84,15131.4,15132.8,15133.2,15132.7,15131.1,15128.5
85,15128,15129.5,15129.9,15129.3,15127.8,15125.3
86,15124.6,15126,15126.5,15126,15124.4,15121.9
87,15121.1,15122.5,15123,15122.5,15121,15118.5
88,15117.5,15119,15119.5,15119,15117.5,15115
89,15113.8,15115.3,15115.8,15115.4,15113.9,15111.4
90,15110.1,15111.6,15112.1,15111.7,15110.2,15107.8
91,15106.2,15107.8,15108.4,15107.9,15106.5,15104.1
92,15102.4,15103.9,15104.5,15104.1,15102.7,15100.3
93,15098.4,15100,15100.6,15100.2,15098.8,15096.4
94,15094.4,15096,15096.6,15096.2,15094.9,15092.5
95,15090.3,15091.9,15092.5,15092.2,15090.8,15088.5
96,15086.1,15087.7,15088.4,15088.1,15086.7,15084.4
97,15081.8,15083.5,15084.2,15083.9,15082.6,15080.2
98,15077.5,15079.2,15079.9,15079.6,15078.3,15076
99,15073.1,15074.8,15075.5,15075.3,15074,15071.7
100,15068.6,15070.4,15071.1,15070.9,15069.6,15067.4
101,15064.1,15065.9,15066.6,15066.4,15065.1,15062.9
102,15059.5,15061.3,15062,15061.8,15060.6,15058.4
103,15054.8,15056.6,15057.4,15057.2,15056,15053.8
104,15050,15051.8,15052.7,15052.5,15051.3,15049.1
105,15045.2,15047,15047.9,15047.7,15046.6,15044.4
106,15040.3,15042.1,15043,15042.9,15041.7,15039.6
107,15035.3,15037.2,15038.1,15037.9,15036.8,15034.7
108,15030.3,15032.2,15033.1,15033,15031.9,15029.8
109,15025.1,15027,15028,15027.9,15026.8,15024.7
110,15019.9,15021.9,15022.8,15022.7,15021.7,15019.6
111,15014.7,15016.6,15017.6,15017.5,15016.5,15014.5
112,15009.3,15011.3,15012.3,15012.3,15011.2,15009.2
113,15003.9,15005.9,15006.9,15006.9,15005.9,15003.9
114,14998.4,15000.4,15001.4,15001.5,15000.5,14998.5
115,14992.8,14994.9,14995.9,14996,14995,14993.1
116,14987.2,14989.3,14990.3,14990.4,14989.4,14987.5
117,14981.5,14983.6,14984.7,14984.7,14983.8,14981.9
118,14975.7,14977.8,14978.9,14979,14978.1,14976.3
119,14969.9,14972,14973.1,14973.2,14972.3,14970.5
120,14963.9,14966.1,14967.2,14967.3,14966.5,14964.8
121,14957.9,14960.1,14961.2,14961.4,14960.6,14958.9
122,14951.8,14954,14955.2,14955.4,14954.6,14953
123,14945.7,14947.9,14949.1,14949.3,14948.5,14947
124,14939.5,14941.7,14942.9,14943.1,14942.4,14941
125,14933.2,14935.4,14936.7,14936.9,14936.3,14934.9
126,14926.8,14929.1,14930.3,14930.6,14930,14928.8
127,14920.4,14922.7,14923.9,14924.2,14923.7,14922.6
128,14913.9,14916.2,14917.5,14917.8,14917.4,14916.3
129,14907.3,14909.6,14910.9,14911.3,14911,14910
130,14900.6,14903,14904.3,14904.7,14904.5,14903.7
131,14893.9,14896.3,14897.6,14898.1,14898,14897.3
132,14887.1,14889.5,14890.9,14891.5,14891.5,14890.9
133,14880.2,14882.6,14884,14884.7,14884.9,14884.4
134,14873.3,14875.7,14877.2,14878,14878.2,14877.9
135,14866.4,14868.7,14870.2,14871.2,14871.5,14871.3
