Ullage  (cm.),Tank,-1,0,1,2,3,4
0,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
1,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
2,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
3,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
4,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
5,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
6,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
7,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
8,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
9,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
10,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
11,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
12,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
13,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
14,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
15,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
16,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
17,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
18,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
19,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
20,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
21,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
22,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
23,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
24,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
25,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
26,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
27,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
28,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
29,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
30,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
31,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
32,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
33,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
34,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
35,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
36,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
37,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
38,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
39,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
40,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
41,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
42,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
43,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
44,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
45,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
46,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
47,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
48,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
49,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
50,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
51,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
52,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
53,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
54,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
55,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
56,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
57,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
58,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
59,SLP,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
