Ullage  (cm.),Tank,-1,0,1,2,3,4
0,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
1,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
2,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
3,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
4,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
5,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
6,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
7,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
8,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
9,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
10,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
11,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
12,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
13,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
14,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
15,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
16,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
17,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
18,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
19,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
20,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
21,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
22,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
23,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
24,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
25,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
26,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
27,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
28,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
29,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
30,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
31,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
32,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
33,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
34,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
35,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
36,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
37,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
38,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
39,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
40,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
41,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
42,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
43,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
44,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
45,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
46,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
47,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
48,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
49,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
50,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
51,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
52,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
53,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
54,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
55,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
56,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
57,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
58,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
59,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
60,SLS,1674.9,1674.9,1674.9,1674.9,1674.9,1674.9
61,SLS,1674.9,1674.9,1674.9,1674.9,1674.8,1674.8
62,SLS,1674.8,1674.8,1674.8,1674.8,1674.8,1674.8
63,SLS,1674.8,1674.8,1674.8,1674.8,1674.8,1674.8
64,SLS,1674.8,1674.8,1674.8,1674.8,1674.8,1674.8
65,SLS,1674.7,1674.7,1674.7,1674.7,1674.7,1674.7
66,SLS,1674.6,1674.6,1674.7,1674.7,1674.6,1674.6
67,SLS,1674.6,1674.6,1674.6,1674.6,1674.6,1674.6
68,SLS,1674.5,1674.5,1674.5,1674.5,1674.5,1674.5
69,SLS,1674.4,1674.4,1674.4,1674.4,1674.4,1674.4
70,SLS,1674.3,1674.3,1674.3,1674.3,1674.3,1674.3
71,SLS,1674.2,1674.2,1674.2,1674.2,1674.2,1674.2
72,SLS,1674,1674.1,1674.1,1674.1,1674.1,1674.1
73,SLS,1673.9,1673.9,1673.9,1673.9,1673.9,1673.9
74,SLS,1673.8,1673.8,1673.8,1673.8,1673.8,1673.8
75,SLS,1673.6,1673.6,1673.6,1673.6,1673.6,1673.6
76,SLS,1673.4,1673.4,1673.5,1673.5,1673.5,1673.5
77,SLS,1673.3,1673.3,1673.3,1673.3,1673.3,1673.3
78,SLS,1673.1,1673.1,1673.1,1673.1,1673.1,1673.1
79,SLS,1672.9,1672.9,1672.9,1672.9,1672.9,1672.9
80,SLS,1672.7,1672.7,1672.7,1672.7,1672.7,1672.7
81,SLS,1672.4,1672.5,1672.5,1672.5,1672.5,1672.5
82,SLS,1672.2,1672.2,1672.2,1672.3,1672.3,1672.3
83,SLS,1672,1672,1672,1672,1672,1672
84,SLS,1671.7,1671.7,1671.8,1671.8,1671.8,1671.8
